waiting time(ms),probability
0.1,0.763
0.48,0.685
0.86,0.655
1.24,0.616
1.62,0.565
2,0.54
2.38,0.483
2.76,0.439
3.14,0.427
3.52,0.365
3.9,0.338
4.28,0.33
4.66,0.314
5.04,0.283
5.42,0.263
5.8,0.247
6.18,0.234
6.56,0.229
6.94,0.222
7.32,0.199
7.7,0.176
8.08,0.165
8.46,0.184
8.84,0.154
9.22,0.143
9.6,0.149
9.98,0.15
10.36,0.133
10.74,0.123
11.12,0.116
11.5,0.121
11.88,0.118
12.26,0.108
12.64,0.096
13.02,0.104
13.4,0.097
13.78,0.091
14.16,0.106
14.54,0.097
14.92,0.104
15.3,0.092
15.68,0.074
16.06,0.072
16.44,0.084
16.82,0.095
17.2,0.07
17.58,0.076
17.96,0.09
18.34,0.065
18.72,0.081
19.1,0.078
