waiting time(us),probability
0.1,0.547
0.48,0.451
0.86,0.41
1.24,0.417
1.62,0.354
2,0.304
2.38,0.266
2.76,0.205
3.14,0.186
3.52,0.171
3.9,0.134
4.28,0.144
4.66,0.142
5.04,0.112
5.42,0.108
5.8,0.11
6.18,0.069
6.56,0.084
6.94,0.1
7.32,0.074
7.7,0.079
8.08,0.068
8.46,0.076
8.84,0.052
9.22,0.051
9.6,0.051
9.98,0.049
10.36,0.046
10.74,0.044
11.12,0.037
11.5,0.05
11.88,0.04
12.26,0.041
12.64,0.043
13.02,0.04
13.4,0.049
13.78,0.044
14.16,0.032
14.54,0.038
14.92,0.033
15.3,0.04
15.68,0.037
16.06,0.044
16.44,0.039
16.82,0.033
17.2,0.057
17.58,0.047
17.96,0.045
18.34,0.046
18.72,0.05
19.1,0.049
