t_wait(us),probability
0,0.945
0.01,0.8325
0.06,0.6375
0.11,0.3425
0.16,0.185
0.21,0.1225
0.26,0.1725
0.31,0.3375
0.36,0.5525
0.41,0.7375
0.46,0.8275
0.51,0.7925
0.56,0.7175
0.61,0.525
0.66,0.33
0.71,0.27
0.76,0.265
0.81,0.4025
0.86,0.51
0.91,0.6575
0.96,0.71
1.01,0.6925
1.06,0.5925
1.11,0.495
1.16,0.37
1.21,0.3475
1.26,0.3675
1.31,0.4375
1.36,0.5775
1.41,0.635
1.46,0.71
1.51,0.68
1.56,0.5875
1.61,0.4775
1.66,0.3575
1.71,0.3225
1.76,0.3925
1.81,0.44
1.86,0.5375
1.91,0.605
1.96,0.64
2.01,0.625
2.06,0.575
2.11,0.53
2.16,0.4825
2.21,0.4
2.26,0.4025
2.31,0.47
2.36,0.47
2.41,0.505
2.46,0.585
2.51,0.5375
2.56,0.5375
2.61,0.52
2.66,0.4875
2.71,0.4775
2.76,0.4475
2.81,0.505
2.86,0.515
2.91,0.5225
2.96,0.5475
3.01,0.525
