t_wait(us),probability
0.01,0.78
0.06,0.5
0.11,0.2575
0.16,0.1175
0.21,0.08
0.26,0.2175
0.31,0.41
0.36,0.6625
0.41,0.7875
0.46,0.8225
0.51,0.6925
0.56,0.47
0.61,0.3025
0.66,0.1475
0.71,0.145
0.76,0.265
0.81,0.4825
0.86,0.62
0.91,0.75
0.96,0.7
1.01,0.615
1.06,0.49
1.11,0.33
1.16,0.245
1.21,0.2375
1.26,0.3075
1.31,0.45
1.36,0.59
1.41,0.6225
1.46,0.635
1.51,0.5575
1.56,0.4725
1.61,0.34
1.66,0.315
1.71,0.3325
1.76,0.4075
1.81,0.445
1.86,0.5225
1.91,0.59
1.96,0.545
2.01,0.53
2.06,0.455
2.11,0.44
2.16,0.3775
2.21,0.3825
2.26,0.4425
2.31,0.4825
2.36,0.4875
2.41,0.52
2.46,0.4925
2.51,0.51
2.56,0.4175
2.61,0.425
2.66,0.415
2.71,0.4175
2.76,0.45
2.81,0.4975
2.86,0.5
2.91,0.4925
2.96,0.47
3.01,0.42
